"Trial","Passed","Seconds","Gates"
"1","True","306.5","P19-lsv:OK"
"2","True","282.1","P19-lsv:OK"
"3","True","418.6","P19-lsv:OK"
"4","True","322.7","P19-lsv:OK"
"5","True","371.2","P19-lsv:OK"
"6","True","475.4","P19-lsv:OK"
"7","True","410.6","P19-lsv:OK"
"8","True","338.7","P19-lsv:OK"
"9","True","459.1","P19-lsv:OK"
"10","True","434.9","P19-lsv:OK"
